req,res
혼자 집에 있으면 외롭잖아,근데 진짜 사람같이 말하더라 앵무새
그치 성대 모양이 비슷한가?,진짜 그럴수도?/억양까지 따라하던데
무시할게 아니야,너가 하는 말 따라하면 골 때리겠다
나 예전엔 배구 잘 몰랐는데 이번에 올림픽 때문인지 재밌더라.,나는 원래 배구 좋아했었어.
맞아 너는 경기도 보러가고 그랬잖아.,응응 그랬지. 이번 올림픽으로 배구가 더 인기있어진 것 같아서 기분좋아
하하 나는 너 때문에 코보컵이라는 거 처음 들었잖아.,맞아 모르는 사람도 많을걸?
그치? 배구의 매력에 한번 빠지면 빠져나오기 힘든 것 같아.,나 이번에도 경기 보러 갈건데 같이 갈래?
오 나야 좋지!! 실제로 보면 정말 재미있겠다.,티비로 보는 거랑 완전 달라!
알투비트 새로 나온대.,헐 완전 추억의 게임 아니냐.
그러니까 우리 초딩때 나왔었는데.,나 그때 진짜 열심히 했잖아.
근데 지금까지 안 죽고 살아있는 게 신기해.,그러니까 완전 추억 돋겠다.
암튼 재출시하면 해봐야지.,나도 해볼래 모바일용인가?
몰라 그건? 아마 컴퓨터 용일 걸?,아 진짜? 요즘은 모바일이 대센데...
다시 좀 기온이 높아진것 같더라,그러니까 요 며칠 진짜 춥더니
이제야 좀 가을 같애,나도 가을 없어진 줄 알고 진짜
여름하고 겨울만 남은줄,온난화땜에 계속 짧아지고 있다더니...
그니까 너무 심하긴 해,아니 그런데 옷 입는게 진짜 신경쓰여
그치 낮에는 또 햇빛에서 엄청 따뜻해,맞아 밤에는 완전 겨울이구만
북한에 백신 지원 사업은 해야 할까?,북한도 우리 동포니 인도적 차원으로 해줘야지
우리나라도 지금 백신 부족한데 그렇게 해야 돼?,우리가 먼저 대화의 장을 열고 다가가야지
그래봐야 북한은 미사일 쏘고 긴장감만 고조시키잖아,그건 북한의 잘못이지만 그래도 우리마저 마음 돌리면 영영 통일 안되
너무 우리만 일방적인 거 같아서 그래,너 말도 일리 있는 말이야
그래 통일 하려면 북한도 그에 맞는 행동을 해야지,그래 그러기 위해서 우리가 좀 더 노력하면 좋아 질 거야
너 퍼스널컬러 뭔지 알아?,아니? 언니는 알아?
아니 나도 몰라서 ㅋㅋ 궁금하지 않아?,응 요즘 많이 받고 오는것 같더라.
나도 어떤 색이 어울리는지 알아야 그에 맞는 옷을 살텐데,그치 그러면 옷이나 화장품 색상 선택하는데 도움이 될 것 같아.
응 퍼스널컬러 진단 받으려면 생얼로 가야한대,"헐,, 하긴 생얼로 가야 진단받기 편하겠다."
응응 다음에 한번 같이 받으러가자,응 나도 관심있었는데 같이 가자
어제 밤새 울었더니 눈이 부었어,밤새 울다니 무슨일이야?
엄청 슬픈 영화 봤거든,슬픈영화? 어떤거 봤는데?
7번방의 선물 봤어,아 그거 엄청 슬프잖아
두 번째 보는건데도 너무 슬프더라,너 감수성이 풍부하구나
응 나 영화보면서 잘 울어,가끔 울고 싶은 날이 있긴하지
드디어 집청소 끝났어,고생했어. 오늘 대청소 했어?
응 이제 계절이 바뀌니까,너도 참 부지런하다 얘
기관지가 안좋아서 먼지 많으면 힘들어,혼자 대청소 한거야?
원룸이라 혼자도 충분해,그래도 도움 필요하면 말해
응 말이라도 고맙다 친구야,언제든 도와주러 갈게
오늘 사무실 어린이날이야!,어른이 무슨 어린이 날?
아니 오늘 과장님 안오시거든,아 정말? 휴가신가보네
아니 우리 재택근무로 교차출근하거든,재택근무 완전 좋겠다
오늘 나랑 동기만 출근하는 날이야,편하겠네 아무도 없어서
그러니까. 내 세상이야 완전,몸만 회사에 있고 자유네
가족은 대부분 사이가 좋지?,당연한 소리 아닌가?
나는 이제 가족이 어색해,오랫동안 혼자 살면 그럴 수 있지
근데 그게 너무 남같다는게 문제야,뭔지 알아... 사실 오랜만에 보면 어색할 때도 있어
너도 그래? 난 진짜 심하거든,그래도 부모님이 어색한게 말이 되냐
그러니까 잘 좀 해드려야되는데,그냥 너가 살갑게 대해드려
나만 고양이 없는 것 같아,나도 고양이 없어
친구가 얼마전에 냥줍했거든,헉 새끼고양이야? 귀엽겠다
내 친구 부러워,고양이 집사는 운명이라던데
맞아 고양님께 선택 받아야 해,냥줍은 운명인듯 하다
츄르 사서 놀러가기러 했어,나도 같이 가면 안될까?
나 요즘 동상이몽 다시 보는데 여기 이상화랑 강남 부부 나오는 거 진짜 재밌다.,빙상여제 이상화선수?
응응 이상화랑 강남이 노인 분장하고 수강생들 속이는데 대박,ㅋㅋ 어 나도 그거 본것 같아
응응 근데 이거 보다보면 이상화선수가 진짜 대단했던 것 같아.,그치 수상 경력보면 어마어마할걸?
응 여기 안그래도 이력 보여주는데 엄청 많더라.,집에 메달도 엄청 많을 거야.
그치 금메달도 여러 번 가져왔으니까,응응 진짜 멋진 것 같아. 이상화 선수
카카오프렌즈 골프 게임 알아?,응 나 그거 이모티콘 받으려고 시작했어.
오 골프 칠 줄 알아?,아니 골프 실제로는 못 쳐.
게임이랑 룰이 다른가?,음 비슷한 것 같아.
재미있어? 같이 할 수 있는 건가.,응 친구랑 플레이도 할 수 있어.
나 좀 알려줘 같이하자.,그래 내 실력을 보여주겠어.
계절 바뀌는 거 너무 싫어,아니 호주처럼 계속 여름이면 좋겠다
호주는 여름나라인가?,아마 그럴껄? 그래서 크리스마스도 여름이잖아
어 그거 기사에서 본거같다,그래도 연말에는 눈이 내려줘야되는데
맞아 추워도 분위기는 있어,지금 얼마 안있으면 크리스마스 곧 되겠다
그러니까 계절이 진짜 금방 바껴,겨울 옷 좀 사야겠다 나는
인생 영화 뭐야?,나는 디즈니 영화들 좋아해
디즈니 명작 많지,인사이드아웃이라는 영화 봤어?
아 본거같아! 캐릭터들 나오는거,맞아 난 그게 인생영화야
소재가 되게 독특했었지,디즈니 상상력 진짜 최고아냐?
그러니까 그걸 시각적으로 풀다니!,신작들 자주 개봉해줬으면 좋겠다
오늘 이불 세탁 해야겠다,이불 세탁 어떻게 해?
세탁소 맡길 때도 있어,매번 맡기면 비싸지않아?
응 그래서 셀프 코인세탁 자주 이용해,셀프로도 이불 빨래 할 수 있구나
건조만 잘 시키면 좋아,그런건 보통 얼마해
1시간에 건조 포함 만원 정도?,생각보다 가격도 괜찮네!
아니 오늘 미팅 있었는데 망했어,왜 망했어 무슨 일인데
내가 오늘 발표하는 거였거든,왜 뭐 내용에 틀린 거 넣었어?
맞아 내가 완전 옛날 자료로 발표한거야,헐 바로 알더나
어 바로 알지 전문가들인데,어떻게 됐어 깨졌겠네
완전 탈탈 털렸지 탈곡기처럼,안돼겠다 오늘 한 잔 해야겠네
친구 대학원 등록했대,와 공부에 대한 열정이 대단하다
나는 학교 졸업하고 전공 접은지 오래야,나도 거의 회사일만 했는데
이번에 석사 준비한대,회사 다니면서 다닌대?
응 야간대학원이라 병행한대,허락해준 회사도 대단하다
그 친구 아마 박사도 노릴건가봐,나도 공부에 뜻이 있었으면 좋겠다
가족들이랑 여름 휴가 가야하는데,특별한 계획이라도 있어?
동생이 제주도 가고싶대,제주도 말만 들어도 설렌다
근데 아무래도 어른들이랑 가서 걱정도 돼,어떤 부분이 걱정인데?
단체 투어신청을 할까봐,음식 같은것도 신경써야겠다
맞아 동생이랑 둘이 가는게 편한데,그래도 추억 쌓고 좋겠다!
반려동물 키워본적 있어?,응 나는 어릴때 병아리 키웠어
학교 앞에서 파는 그런 병아리?,맞아 뭣도 모르고 사왔지
근데 그 병아리들 아프잖아?,그렇다고 들었는데 난 오래 키웠어
닭까지 키운거야 설마?,아파트라서 닭 되기 전에 분양보냈어...
분양이라면 어디로 보냈어?,마당 넓은 시골집으로 보내줬어
엄마 예전에 수영 배우지 않았나?,응응 엄마 수영 배우러 다녔었잖아 왜?
아 나 수영을 못해서ㅠㅠ 배워볼까 싶길래,그래 언니 생존수영이라도 해야지
맞아ㅠㅠ 나는 왜 물공포증 있지?,그러게 우리 집에서 언니만 수영 못하잖아
ㅠㅠ 나도 수영 잘하고 싶다.,언니는 물공포증부터 없애야해
근데 물속에서 적응하면 조금 괜찮아지던데?,오 그럼 일단 시작부터 해봐!
아 분명 오늘 비 안온댔는데,헐 점심에 소나기 내리던데?
내말이! 잠깐 나갔다가 다젖었어,우산 안챙겼구나 오늘
기상청은 정말 믿을 수가 없어,요새 날씨가 너무 오락가락해
신발이랑 양말 언제 다 말리냐,아이구 속상했겠다 찝찝하고
맑은 하늘에 소나기라니 휴,감기 걸리지 않게 조심해
왓챠에 요새 볼 영화가 없네,나는 그래서 시리즈온 봐
시리즈온은 어디 거야?,시리즈온은 네이버 서비스야!
나도 왓챠 해지할까,또는 넷플릭스도 추천해!
넷플릭스는 이미 보고 있어,구독 서비스 너무 비싸
난 가끔 그래서 건당 결제로 봐,그게 더 저렴할수도
아 정말 집안일 하기 귀찮다,옛날에는 진짜 어떻게 다 하고 살았지
내말이 진짜 쉴 틈도 없었을 듯,어휴 난 그때 태어났음 인생 포기다
아니 벌써 빨래 일주일치 쌓였어,원래 하루만 안해도 금방 쌓여
안하면 티나고 해도 티 안나는 집안일 극혐이야...,오 왠지 좀 주부같은 발언이다
결혼도 안했는데 왜 주부의 삶이냐 진짜~,돈 많이 벌어서 도우미를 부르자
아 사람 뽑는게 쉽지가 않네,너네 사람 뽑고있어?
어 우리팀에 계약직 한 명이 나갔어,헐 갑자기 말도 없이?
아 그런건 아닌데 아무튼 구해야돼,어떤 일 하는데 어려운거야?
그렇게 어려운 것도 아니야,나 아는 동생이 지금 백수거든
어 그럼 지원해보라고 할래?,걔도 좋아할듯 지원 링크 좀
아 나도 어릴때 유학갔으면 좋았을걸,고를 수 있다면 어디로?
미국이나 영국 아니면 호주,영어권에 가고싶나보네
솔직히 한국에서 영어 잘하는게 좋잖아,맞아 한국인데 왜 영어가 필요한지
진짜 살다오면 따로 공부도 안해도되고,예전에 살다온 친구 있었는데 발음이 진짜 좋아
그러니까 나는 굴려도 안되는데,어릴때 혀가 말랑할때 배워야돼 역시
아버지 생신에 용돈 얼마정도 드려야할까?,음 나는 형편에 맞게 드리는데
5만원만 드리면 서운하시려나?,금액이 중요한게 아닐거야
하긴 안줘도 된다고 늘 말씀하시는데,어른들의 거짓말 아닐까
맞아 다른 자식들은 용돈주고 할텐데,말은 그렇게 하셔도 좋아하실걸?
이번달엔 10만원 드려야겠어,엄청 좋아하시겠다 아버지
어제 우리 강아지 아파서 병원갔어,어디가 어떻게 아팠어?
슬개골 탈골이라는 병이래,어머 강아지가 나이가 좀 있구나
응 그래서 진단 받고 왔어,병원비도 엄청 깨졌겠다
다행히 보험 들었어서 괜찮아,반려동물도 보험이 되구나
응 요즘 잘 돼 있어,반려동물 키우면 필수겠다
너 캠핑 많이 가봤지?,"응 그치, 언니 캠핑가게?"
응응 근데 쪼금 무서워 ㅋㅋ,뭐가? 텐트 치는 거 때문에?
응응 텐트 치는 게 제일 힘든 거 아냐?,아냐 불 피우는 거도 힘들어 ㅋㅋ
ㅋㅋ 하긴 캠핑은 다 고생 같은데 왜 가나 싶어,근데 또 그 맛이 있잖아
그래서 캠핑 못잃는거지?,응응 그래서 캠핑 못잃어 ㅋㅋ
가을에 원래 이렇게 비가 많이 오나?,그치 요새 비 자주오지
나만 그렇게 생각하는게 아니었어...,올해는 장마 별로 안왔지
아마 그랬던 것 같은데,원래는 천도 넘치고 이랬는데
맞아 올해는 그런 적 없었던 거 같아,매년 날씨는 예상을 할 수가 없네
기상청이 잘못했네 잘못했어,아니 근데 나 같아도 못맞출듯
요새 뭐 좀 볼거 없나?,넷플릭스 켜서 아무거나 봐
넷플릭스 들어가면 뭐볼지 고민만 해,맞아 완전 공감
들어가서 한시간 동안 예고만 여러개 보고,막상 볼게 없긴 해
너 뭐 재밌게 본거 없어?,글쎄 끝까지 간다 재밌었는데
우리나라 영화인가 그거?,어 난 거의 한국영화만 봐
나 요즘 인테리어에 관심이 많아져서 집좀 꾸미고 싶더라,나도! 그래서 이번에 무드등 하나 사려고! 너는?
오 무드등 좋지. 나는 집에 조명이 많아서 무드등은 말고 액자나 소품들 사고싶어,액자 좋다! 그림이나 사진 있으면 분위가 달라지지
"맞아 근데 가격대가 꽤 나가더라구, 추천 하는 소품 있어?",장식용 식물도 많으니까 그것도 한번 알아봐!
그것도 알아볼게. 고마워.  너도 키우는거 있어?,나는 스투키 키우고 있는데 관리할 필요 없고 좋아!
나도 한번 찾아볼게,그래 집안에 식물 하나 있으면 좋더라고!
회사 다니고 싶다 진짜,나는 진짜 다니기 싫은데
너는 이미 다니고 있으니까 그렇지,앗 취준생한테 내가 무슨말을
그러니까 배부른 소리 하지마,너도 다니면 알게 될걸?
아니 나는 뽑아만 주면 삼보일배 하면서 다닐건데?,지금 한 말대로 하나 내가 지켜본다
진짜야 뽑아만 줘봐 뽑아주고 말해,내가 사장이면 너 뽑는다
아 맞아 강의 듣는 거 깜빡했다,무슨 강의 들어야 되는 거 있어?
아 나 클래스 신청해놨거든,아 뭐 공부 시작했어?
나 배우고 싶은 거 생겨서,대단하다 회사 다니는 것도 바쁠텐데
아니 내가 영어를 못하잖아,너 일 하는데가 영어 필요한가?
"그건 아닌데, 토익 점수 따야해서",회사에서 토익 점수는 대체 왜 필요한건지...
아 나도 언니 있으면 좋겠다,너는 니가 언니잖아
그러니까 나도 언니있고 싶다고~ 동생말고,그래도 나는 자매 있는거 자체가 부럽다
맞아 그건 인정해 자매가 좋지,오빠랑은 갈수록 말이 안 통하는듯
왜 그래도 든든하지 않나,오히려 어릴 때는 든든했는데
지금은 별로 안든든해?,어 별로 쓸모가 없어 이제
윗층 강아지가 대형견이라 무서워,강아지랑 자주 마주쳐?
엘레베이터에서 가끔 마주쳐,강아지 입마개 안해?
입마개 해야하는데 안하더라고,헐? 무슨 그런 무개념 견주가 있냐
나는 무서운데,한번 좋게 말해봐
그래야겠어 나는 트라우마가 있어서,그러게 마주치면 참 무섭겠다
너 요트 타봤어?,아니 요트 엄청 비싼 거 아니야?
나도 그런 줄 알았는데 그렇게 안비싸대?,아 그래? 오 그러면 기념일 같은 날 가면 좋겠다.
그치 나도 요트한번 타보고 싶다.,드라마 같은데서 보면 재벌들이 데이트할 때 타잖아
맞아 ㅋㅋ 그런 거 보면서 대리만족 하고 있지,해외여행 가야 더 멋진 풍경을 볼 수 있지 않을까?
아냐 한국에서도 멋질 걸?,한번 타보고 싶다. ㅋㅋ
오늘 아침에 목이 너무 아팠어,왜 너네 방 난방 잘 안돼?
아직 솜이불을 안꺼냈거든,우리집도 외풍이 심해서 이제 추워
날씨가 갑자기 너무 추워진 것 같지 않아?,응 이제 보일러도 키고 이불도 잘 덮고 자야돼
겨울에는 이불안에서 귤까먹어야지,오 너 뭘 좀 아는 녀석이구나!
겨울엔 전기장판과 귤 필수템,맞아 그리고 겨울잠 쿨쿨하면 꿀휴식!
아 진짜 모공때문에 스트레스야,왜 그렇게 스트레스 받아해
아니 아무리 화장을 해도 커버가 안돼,모공 프라이머 사용해 봤어?
그거 가지고 될 게 아니야 지금,시술은 효과가 많이는 없다던데
그냥 이렇게 살아야 되나봐,걱정마 사람들이 많이 신경 안써~
거울 볼때마다 기분이 별로야,내가 재생크림 선물해줄게
너 만화 보는거 좋아해?,뭐 애니메이션 같은거?
어 뭐 애니 영화라던가,엄청 찾아보진 않는데 보긴 봐
나는 디즈니 진짜 좋아하거든,아~ 나도 어릴 때 디즈니 많이 봤어
아침에 일요일에 만화볼라고 일어났잖아,너도? 나도 맨날 그랬는데
101마리 강아지 진짜 좋아했었다,헐 기억나 엄청 귀여웠었는데
너네 집 근처에 편의점 많아?,아니ㅠㅠ 걸어서 쫌 나가야 돼
엄청 불편하겠다,응 집 고르는데 편세권도 진짜 중요해
그러니까 우리 집 밑에는 편의점 있어서 너무 편해,진짜 부럽다 나는 편의점 가려면 많이 걸어야해
특히 자취생들은 편의점 필수 잖아,그치 집 주변 환경중에 그거 제일 필요해ㅠㅠ
그래도 너네 집 근처는 깨끗하고 조용하자나,그건 그래 ㅋㅋ 층간 소음도 없고
그냥 평생 아르바이트나 하고싶다,그럼 큰 돈 못벌잖아
괜찮아 그냥 이렇게 살지 뭐,입에 풀칠만 하면서?
입에 풀칠하는게 얼마나 힘든데,그래도 나이들면 어느정도 자리 잡아야지
그게 걱정이 되긴 한다,나이 먹으면 돈 들어갈 일도 많고
맞아 회사 일단 다니면 이득이 많으니까,그래 보험이나 이런 복지도 있고 하니까
혼자사니까 가족들이 그리워,혼자 산지 오래 됐어?
한 4년 된 것 같아,그럼 정말 보고싶을만하다
고향도 멀어서 자주 못가,헉 너 고향이 어디랬지?
경상도 지방이라 오래걸려,향수병 걸리지 않게 조심해
응 친구들이랑 시간 보내야지,가족이랑 영상통화도 자주하고 그래
어제 소개팅 어땠어?,말도마 완전 최악이었어
왜 무슨 일이 있었던거야!,처음에 약속시간부터 어겼어
지각한거야 첫만남에?,응 30분 넘게 늦게 왔어
주선자한테 따져보지 그랬어,그래서 이미 기분 나빠서 밥도 꾸역꾸역 먹었어
외모도 네 스타일이 아니였나보네,응 완전 사진빨 심하더라
너 구피 키워본 적 있어?,아니 난 물고기 별로 안 좋아해ㅠㅠ
ㅠㅠ나도 좋아하진 않지만 물고기는 손 많이 안 갈 것같아서 하하,그렇긴 하지 하하 그래도 난 물 갈아주는게 너무 번거로울 것 같아/고슴도치는 어때?
고슴도치 장도연이 키우는거 보니까 귀엽더라 안아플까?,손 타면 안 찌른데!
아진짜? 오 귀여울 것 같은데? 고슴도치도 비싸려나,그건 잘 모르겠다 나도 고슴도치 한번 키워보고 싶다 ㅋㅋ
ㅋㅋ 고슴도치 찾아보니까 엄청 귀엽네! 마음이 끌린다 ㅋㅋ,그치! 키우면 나도 보여줘~
저기 골프 쳐봤어?,아니 나 한번도 안해봤는데
아 그래? 나도 한번도 안해봐서 궁금했어.,요즘 많이 치러다니잖아
응 그렇더라. 생각보다 레슨비가 그렇게 안비싸던데,응 그래서 이젠 예전보다 많이 하는 것 같아.
응응 나도 예전엔 골프친다고 하면 부자인 줄 알았는데 요즘은 아닌 것 같아,응 나도 요즘 관심 있었는데 한번 배워볼까?
배워두는 것도 좋을 것 같아.,응 개인레슨 한번 알아봐야겠다.
오늘 낮 날씨 진짜 따듯하다,맞아 니트만 입고 나갔는데 안 추웠어
나는 그런 줄도 모르고 경량패딩 입고 와서 너무 더워ㅠㅠ,날씨가 진짜 오락가락이야
그러게ㅠㅠ 오늘도 옷 선택 실패한 것 같아 ㅋㅋ,요즘 진짜 날씨 맞추기 어려워
이제 조금 있으면 날이 조금 풀린다더라,맞아! 주말에 따뜻했으면 좋겠다!
주말에 따듯해야 예쁜 옷 입고 나갈텐데!,단풍놀이 가야지~
인도랑 네팔에 홍수났대,헐 지금 겨울 아니야?
그러니까 거기도 이상기후인가,그 동네 홍수는 완전 저세상 홍수잖아
맞아 한 200명이래 사망자만,그럼 실종자까지 합치면 더 많겠네
자연이 진짜 무섭다 무서워,진짜야 암튼/거기는 난리겠다
코로나에 자연재해까지 겹치다니,얼마나 힘들까 지금
너 공짜로 머리하는법 알아?,공짜로? 어떻게 하는데?
인터넷에 미용실 체험단 쳐봐,검색해보고 올게 잠시만
응 거기서 지역보고 신청해,나 방금 신청했어 고마워!
이렇게 하면 머리 공짜로 가능해,파마나 염색도 해줘?
응 시술 종류별로 다 있어,고마워 진짜 꿀팁이다
영화표 예매해야되는데 참,영화 보기로 했어?
어 남친이랑 오랜만에 영화보기로함,남친이 너보고 예매하래?
아니 내가 통신사 할인이 되거든,오 뭐 공짜로 끊을 수 있고 그래?
어 1인 무료에 1인은 반값,헐 혜택 완전 꿀인데
어플에서 해야되거든,그래도 그정도 할인이면 완전 이득이지
나 이제 슬슬 자기소개서 다시 써봐야할 것 같아,왜? 갑자기 이직 준비하게?
"응, 여기 회사 너무 힘들어서 준비 좀 해야겠어",그래 잘 생각했어./근데 자기소개서라니ㅠㅠ 생각만해도 너무 싫다
그치 나도 다시 시작하기 싫은데 이직은 욕심나고 ㅋㅋ,ㅠㅠ 이직하려면 어쩔 수 없지
응 진짜 예전에 뭐했는지 잘 기억도 안난다,예전에 썼던 것 좀 참고해서 봐봐
그래야 겠어ㅠㅠ 이 나이에 자기소개서라니,열심히 해봐야지! 파이팅
너 가족들한테 돈 잘써?,음 어떤 돈 말하는거야?
뭐 외식하면 외식비라던가~,아 외식비는 아빠가 결제해
그럼 용돈같은거 드려?,용돈은 주기적으로 드리고있어
와 너 참 어른스럽다,에이 나도 이제 돈 버니까 갚아야지
나 갑자기 불효녀 된 거 같아,아니야 다 사정이 다르니까!
너 소개팅 앱 해본적 있어?,아니 요즘 많이 하던데
너무 외로워 요새~,너도 어플 가입해보게?
응 무료라길래 한 번 해보게,후기 궁금하다 직접 만나?
대화 좀 하다가 실제로 만난대,그래도 세상이 흉흉하니까 조심해
안그래도 그 부분이 좀 걱정이야,안전한 낮에만 꼭 만나고!
앵무새 한번 키워 볼까?,앵무새가 진짜 똑똑하자나
맞아 말도 하고 사람이랑 싸우기도 하자나 ㅋㅋ,진짜 신기해 ㅋㅋ 나도 인사 가르치고 싶다
집에 올 때 마다 인사 해주면 진짜 좋겠다,응 ㅋㅋ 훈련 진짜 잘 시킬 자신 있는데
너도 머리채 잡히는거 아니야? ㅋㅋ,맞아 ㅋㅋ 그럴 수도 있어
근데 애교도 많아서 귀여울 것같아,그건 그래 하하 손에도 올라오고
나 쌍수했는데 망한 것 같아,왜? 자연스러워 보이던데?
한 쪽이 짝짝이 같아,별로 티 안나!
내 눈에만 보이는건가,응 남들은 별로 관심 없을거야
그래도 너무 속상해,그럼 재수술은 어때?
다시는 수술하고 싶지 않아,많이 아팠나보네 수술이
너 한국 감독 중에 누구 좋아해?,나는 박찬욱 감독이 좋더라 ㅋㅋ/아가씨 제일 좋아하는 작품이야
진짜? 나는 최동훈 감독 좋아하는데,그 도둑들이랑 암살 만든 감독?
응! 진짜 영화 너무 재밌게 잘 만들지 않아?,맞아 그 감독은 전부 흥행 했더라
타자도 그 감독 영화야!,와 진짜 다 흥행했네 대박이다 ㅋㅋ
그치 ㅋㅋ 곧 차기작 나온다는데 기대 중이야,그래? 같이 보러가자!
너네 회사 복지는 어때?,"복지는 뭐, 복지라고 자랑할만한게 없네"
그치? 우리 회사도 마찬가지야,"에휴 무슨 복지야,, 월급이나 올려줬으면 좋겠다."
"맞아, 근데 복지가 좋아져야 사람들이 오래 근무하지 않을까?","그렇지, 너네 회사는 노조 있어?"
응 있지. 분기별로 안건을 건의할 수 있어.,오 그러면 좋겠다~ 안건도 많이 올라오나?
생각지도 못한 아이디어들이 나와서 그래도 요즘 조금 좋아진 것 같아.,오 대박이네? 부럽다~
할머니 보고싶다 요즘,오 너 할머니랑 좀 친해?
응 어릴 때 할머니랑 거의 같이 살았어,아 진짜? 나는 할머니랑 전혀 안친한데
나 한 5살 때까지는 할머니랑 살았어,근데 어릴 때 그렇게 해도 나중에 안친하지 않나/부럽다 나는 외할머니 친할머니 둘 다 안친한데
나는 할머니랑 되게 가까이 살았어서,하긴 나는 멀어가지고 친해질 기회가 없었지
너 생각해둔 이상형 있나?,나 그냥 잘 맞는 사람 좋아해
뭐가 잘 맞아야 잘맞는거지?,성격 같은 부분이 맞는거?
어떤 성격 좋아하는데?,나는 자상한 사람이 좋아
츤데레는 어때 나쁜남자,어 그거 내가 제일 싫어하는거야
나쁜 남자는 스타일이 아니구나,난 착한 남자가 좋아
강아지 산책 갔다가 지금 집왔다,얼마나 산책해?
음 거의 1시간 정도 산책하는 편이야,너도 운동 되고 좋겠다
응 ㅋㅋ 강아지가 산책을 많이 하니까 분리 불안도 없어졌어!,진짜? 역시 강아지들은 산책이 답인가봐
응 진짜 매일 한시간씩은 나가줘야 해!,넌 진짜 성실한 견주다
아냐 이건 당연히 해야 하는거야 !,넌 강형욱 선생님한테 안 혼나겠다
피부 레이저 시술 받고싶다,레이저 시술 어떤거?
모공이랑 잡티 케어 하는거!,레이저 받아본 적 있어?
응 저번에 한번 해봤어,따갑거나 아프진 않았어?
되게 따끔하고 아프긴 해,난 겁이 많아서 그런거 못하겠다
잠깐만 참으면 괜찮아,한 번 용기내서 해볼까...
어벤져스에 자막 오류 많은거 알지?,응 ㅋㅋ 마지막에 닉 퓨리가 엄마 찾자나 ㅋㅋ
맞아 진짜 닉 퓨리 효자인줄 ㅋㅋ,ㅋㅋ 그거 말고도 너무 많자나
그니까 영화에서 번역가의 중요성을 새삼 느꼈다,진짜 중요하더라 영화 내용이 아예 바뀌니까
맞아 진짜 중요한 순간에 오역을 하면 큰일나지,어벤져스는 진짜 심했어
그 번역가가 한 영화는 보기 싫어졌자나,맞아. 나도 보기 싫어지더라
너네 회사는 요즘 회식 해?,아니 우리는 코로나 터지고 나서 회식 안해
맞아 우리 회사도 회식을 안해서 회식비를 점심값으로 써,ㅋㅋ 그럼 좋겠네 식비도 안들고
그치 근데 퇴근하고 저녁에 맛있는 음식 먹는게 더 좋은데ㅠㅠ,회식이 좋아? 대부분 회식 싫어하잖아
나는 그래도 회식할 때 재밌어서 좋은 것 같아.,너 정말 특이하다 ㅋㅋ
맞아 내 친구들도 다 그소리해,나는 회식 좋다고 하는 사람 처음 봤어
휴가 때 가족여행 계획 짜는 중~,헐~ 너 휴가 아직 남았어?
겨울에 온천갈려고 3일 남겨뒀지~,와 대박 너 철저하다
부모님 생신이라서 기념으로,너 효자다/진짜 신경 많이쓰네
이정도는 해드려야지 내가,대단하다/난 그냥 용돈드리는데
대신 용돈은 따로 안드려,가족여행이 돈 더 많이 들겠다
넌 이상형이 뭐야?,음 성격이나 코드 맞는 사람?
어떤게 잘 맞아야한다고 생각해?,여러가지가 잘 맞아야지
제일 중요한게 뭐야?,다정다감한 성격이 필수야
맞아 다정함이 최고라했어,다정하고 착한 사람 만나고싶다
그런 사람 어딨을까?,알면 내가 이러고 있겠니
너 성형중독 걸린 사람 봤어?,헐 내 옆자리에 딱 있어
강남미인상 실제로 있어?,응 너도 보면 알걸?
성형 중독이 그렇게 무섭다며,그건 마음의 병이래
부작용도 어마어마하던데,돈도 엄청 들거야
예쁜데 왜 더 고치는거지,그러게 인간의 욕심은 끝이없나봐
너 여신강림 웹툰 봐?,응! 너 서준이야? 수호야?
당연히 수호지ㅠㅠ,난 서준이야! 요즘 서준이 분량 너무 없어서 서운해ㅠㅠ
맞아 서준이 너무 안 나오더라 ㅋㅋ 서준이도 좋은데,주경이도 너무 예뻐
화장 기술 진짜 좋아 ㅋㅋ,그러니까 어떻게 그렇게 변하지?
완전 변신술이야 ㅋㅋ,그래도 예쁘잖아ㅠㅠ
내년엔 연봉이 얼마나 오를까,이제 2020년도 끝나가네
응 그래서 슬슬 걱정된다.,"연봉도 올려주는 한계가 있으니까,"
맞아ㅠㅠ 한번에 확 올려주면 좋은데,"그치, 근데 대부분 회사가 안그렇지"
맞아. 그런 회사 어디 없나?,있으면 나도 가고싶다.
ㅋㅋ 같이 가자 그런곳 있으면,좋지. 같이 일하면 재밌을거야
나랑 언니 닮았어?,응 ㅋㅋ 완전 쌍둥이인줄 알았어 ㅋㅋ
진짜? 난 모르겠는데 주변에서는 다 닮았다고 해,그럼 진짜 닮은거야 ㅋㅋ
그런가? ㅋㅋ 넌 오빠랑 닮았어?,아니 ㅋㅋ 우리는 전혀 안 닮았어
ㅋㅋ 성격도 완전 반대자나?,응 ㅋㅋ 오빠랑 진짜 안 맞아
그래도 오빠 있는 거 부러워,그럼 너네 언니랑 바꿀래? ㅋㅋ
너는 연애 오래하는 스타일이야?,나는 좀 금방금방 질려하는 스타일
질릴 때마다 헤어지는?,그런 것 같아 아무래도
하긴 마음이 식으면 헤어져야지,맞아 붙잡고 시간만 보낼 순 없잖아
상대방은 근데 황당할듯,인정 갑자기 헤어지자고해서 어이없을 듯
